type	latitude	longitude	altitude (m)	color	scale	sym	name
W	25.640198137	-100.224425368	973.2	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.630425535	-100.239033072	1511.7	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.623721377	-100.228137000	846.1	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.602474538	-100.244909793	899.4	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.637101252	-100.237249736	1475.9	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.621281156	-100.242957553	1672.4	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.615433398	-100.228987229	825.9	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.605556949	-100.229357791	946.1	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.640763231	-100.232113144	1290.7	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.630923118	-100.259496663	852.9	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.617911127	-100.239392451	1270.7	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.610584501	-100.238916008	1559.2	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.614615752	-100.257102057	793.9	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.608417758	-100.240335192	1388.5	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.631248929	-100.244808185	1418.1	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.630362614	-100.225730895	1238.9	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.646037954	-100.242778147	1036.7	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.615058965	-100.262365936	618.9	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.623943342	-100.238317555	1358.6	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.623318825	-100.227207205	838.8	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.606797718	-100.229624598	943.5	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.611271228	-100.252124380	915.7	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.609706448	-100.251142652	849.8	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.623176124	-100.251157783	1300.0	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
W	25.620558965	-100.242412643	1543.8	#00ff00	0.15	http://maps.google.com/mapfiles/kml/shapes/placemark_circle.png	
